"00"	"<end>"	"C"	"<end>"	"C"	"<End of string>"					
"01"	"<extralineofdialoguewindow>"	"C"	"<extralineofdialoguewindow>"	"C"	"Adds a new line to the dialogue window"					
"02"	"\n"	"C"	"\n"	"C"	"<Newline>"					
"03"	"\n"	"C"	"\n"	"C"	"<Newline>"					
"04"	"<pause>"	"C"	"<pause>"	"C"	"Adds a short pause before printing the next character"					
"08"	"<wait>"	"C"	"<wait>"	"C"	"Wait for player button press"					
"0c"	"<erase>"	"C"	"<erase>"	"C"	"Erase current line"					
"0C"	"<erase>"	"C"	"<erase>"	"C"	"Erase current line"					
"0d"	"<pad>"	"C"	"<pad>"	"C"	"Pad text with leading spaces (next byte is number of spaces))"					
"0D"	"<pad>"	"C"	"<pad>"	"C"	"Pad text with leading spaces (next byte is number of spaces))"					
"0e"	"<padV>"	"C"	"<padV>"	"C"	"Pad with N vertical lines (next byte is number of lines)"					
"0E"	"<padV>"	"C"	"<padV>"	"C"	"Pad with N vertical lines (next byte is number of lines)"					
"101E"	"<NPC_Kiri?>"	"C"	<"NPC_Kiri?">	"C"	"Possibly Kiri name?"
"101F"	"<Player?>"	"C"	<"Player?">	"C"	"Possibly player name?"
"1028"	"<Player_Name>"	"C"	"<Player_Name>"	"C"	"Print player character name"					
"1029"	"<NPCa>"	"C"	"<NPCa>"	"C"						
"102A"	"<NPC_Kiri>"	"C"	"<NPC_Kiri>"	"C"						
"102B"	"<NPC_Shine>"	"C"	"<NPC_Shine>"	"C"						
"102C"	"<NPC_Vynd>"	"C"	"<NPC_Vynd>"	"C"	
"102D"	"<NPC_Nehjana>"	"C"	"<NPC_Nehjana>"	"C"
"1030"	"<NPC_Mica>"	"C"	"<NPC_Mica>"	"C"	"Print MICA name"					
"1034"	"<NPC_Professor>"	"C"	"<NPC_Professor>"	"C"	"An NPC name"					
"1035"	"<NPC_Doctor>"	"C"	"<NPC_Doctor>"	"C"	"Doctor"					
"1036"	"<NPC_Engineer>"	"C"	"<NPC_Engineer>"	"C"	"Engineer"					
"103B"	"<BackupRAM>"	"C"	"<BackupRAM>"	"C"	"BackupRAM name"					
"103C"	"<NPC_Professor>"	"C"	"<NPC_Professor>"	"C"	"Professor"
"103D"	"<NPC_President>"	"C"	"<NPC_President>"	"C"	"President"	
"103E"	"<NPC_PresidentsWife>"	"C"	"<NPC_PresidentsWife>"	"C"	"Presidents Wife"	
"103F"	"<NPC_Trader>"	"C"	"<NPC_Trader>"	"C"	"Trader"
"1040"	"<NPC_Robot>	"C"	<NPC_Robot>	"C"	"Robot"
"1041"	"<NPC_Seeclan>	"C"	<NPC_Seeclan>	"C"	"Seeclan"
"1042"	"<NPC_Mayor>	"C"	<NPC_Mayor>	"C"	"Seeclan"
"1045"	"<NPC_Rock>	"C"	<NPC_Rock>	"C"	"Rock lifeform name"
"1046"	"<NPC_Silicon>"	"C"	"<NPC_Silicon>"	"C"	"Silicon lifeform name"
